FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,25.09,15.3,13.74,83.83,0,83.83,15.3,-0.11074788046979939,-0.5537394023489969,18.916327799312015,-1.7741810451261861
1,25.09,15.3,13.74,83.83,1,83.83,15.3,-0.11074788046979939,-0.5537394023489969,18.916327799312015,-1.7741810451261861
2,25.09,14.53,14.51,89.91,2,89.91,14.53,-0.10015707956808312,-0.5007853978404155,21.085543381611163,-1.6045164146806916
3,25.09,14.72,14.32,88.42,3,88.42,14.72,-0.10275727072746975,-0.5137863536373487,20.52955809045848,-1.6461714770540654
4,25.09,14.4,14.64,90.97,4,90.97,14.4,-0.09830711149601024,-0.4915355574800512,21.482367331168636,-1.574879926166084
5,25.09,14.42,14.62,90.77,5,90.77,14.42,-0.0986561369288127,-0.49328068464406344,21.41397843626796,-1.5804713135995794
6,25.09,14.54,14.49,89.8,6,89.8,14.54,-0.10034906514152238,-0.5017453257076119,21.050088426220942,-1.6075920235671886
7,25.09,14.4,14.64,90.93,7,90.93,14.4,-0.09837691506847093,-0.49188457534235464,21.47493253267003,-1.5759981793969042
8,25.09,14.58,14.46,89.55,8,89.55,14.58,-0.10078539008887114,-0.5039269504443556,20.943641548988694,-1.6145819492237155
9,25.09,14.68,14.36,88.73,9,88.73,14.68,-0.10221638664806143,-0.5110819332403072,20.644673833581614,-1.637506514101944
10,25.09,14.52,14.52,90.02,10,90.02,14.52,-0.099965093415669,-0.499825467078345,21.121049584789812,-1.6014407965190174
11,25.09,14.72,14.32,88.41,11,88.41,14.72,-0.10277471734217469,-0.5138735867108735,20.52774219949313,-1.6464509718216385
12,25.09,14.76,14.27,88.08,12,88.08,14.76,-0.10335040503010716,-0.5167520251505358,20.409672838955508,-1.6556734885823166
13,25.09,14.57,14.47,89.58,13,89.58,14.57,-0.10073303172094605,-0.5036651586047303,20.96422823475179,-1.6137431681695558
14,25.09,14.58,14.45,89.49,14,89.49,14.58,-0.10089010616440958,-0.5044505308220478,20.932632637787492,-1.6162595007538414
15,25.09,14.62,14.42,89.23,15,89.23,14.62,-0.10134386307118731,-0.5067193153559365,20.82500010382646,-1.6235286864004208
16,25.09,14.56,14.48,89.69,16,89.69,14.56,-0.10054104942835307,-0.5027052471417653,20.999544498066484,-1.610667611842216
17,25.09,14.6,14.44,89.38,17,89.38,14.6,-0.10108208301820767,-0.5054104150910383,20.882403111385756,-1.6193349699516868
18,25.09,14.62,14.41,89.17,18,89.17,14.62,-0.10144857261386064,-0.5072428630693032,20.814023467157917,-1.6252061332740475
19,25.09,14.59,14.44,89.41,19,89.41,14.59,-0.10102972606021893,-0.5051486303010946,20.902916118197318,-1.6184962114847072
20,25.09,14.64,14.4,89.07,20,89.07,14.64,-0.1016230849315291,-0.5081154246576455,20.765935597619603,-1.6280018206030962
21,25.09,14.6,14.43,89.34,21,89.34,14.6,-0.10115189183157523,-0.5057594591578761,20.875074582092925,-1.6204533071418352
22,25.09,14.7,14.33,88.55,22,88.55,14.7,-0.10253045728655297,-0.5126522864327648,20.58248647933312,-1.6425379257305786
23,25.09,14.62,14.42,89.2,23,89.2,14.62,-0.10139621803391455,-0.5069810901695727,20.819511765428835,-1.624367412903311
24,25.09,14.69,14.34,88.62,24,88.62,14.69,-0.10240832150205709,-0.5120416075102854,20.60991776749965,-1.6405813104629545
25,25.09,14.72,14.32,88.4,25,88.4,14.72,-0.10279216387235689,-0.5139608193617844,20.525926317325133,-1.6467304652351573
26,25.09,14.57,14.46,89.56,26,89.56,14.57,-0.10076793732277828,-0.5038396866138913,20.960555930155586,-1.614302355910908
27,25.09,14.55,14.49,89.77,27,89.77,14.55,-0.10040142464984639,-0.5020071232492319,21.029395332079233,-1.608430822890539
28,25.09,14.69,14.35,88.65,28,88.65,14.69,-0.10235597648336102,-0.511779882416805,20.615377645866314,-1.6397427432634435
29,25.09,14.46,14.57,90.43,29,90.43,14.46,-0.0992495154667073,-0.49624757733353647,21.288895706097044,-1.5899772377766508
30,25.09,14.56,14.48,89.67,30,89.67,14.56,-0.10057595546879966,-0.5028797773439982,20.9958695015446,-1.6112268066101705
31,25.09,14.47,14.57,90.4,31,90.4,14.47,-0.09930187397020383,-0.4965093698510191,21.267909893361274,-1.5908160210026654
32,25.09,14.71,14.33,88.48,32,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
33,25.09,14.68,14.35,88.68,33,88.68,14.68,-0.10230363081876062,-0.5115181540938031,20.635567278101906,-1.638904165716545
34,25.09,14.86,14.17,87.29,34,87.29,14.86,-0.10472807891631145,-0.5236403945815572,20.123753417857017,-1.6777438242393092
35,25.09,14.77,14.26,87.99,35,87.99,14.77,-0.1035073922774523,-0.5175369613872615,20.378905091860396,-1.6581884242847857
36,25.09,14.68,14.35,88.68,36,88.68,14.68,-0.10230363081876062,-0.5115181540938031,20.635567278101906,-1.638904165716545
37,25.09,14.85,14.19,87.39,37,87.39,14.85,-0.10455373406931848,-0.5227686703465924,20.15593608917654,-1.6749508197904819
38,25.09,14.72,14.32,88.41,38,88.41,14.72,-0.10277471734217469,-0.5138735867108735,20.52774219949313,-1.6464509718216385
39,25.09,14.77,14.27,88.04,39,88.04,14.77,-0.10342017818365529,-0.5171008909182764,20.387950357027172,-1.6567912545021577
40,25.09,14.85,14.19,87.38,40,87.38,14.85,-0.10457116918699688,-0.5228558459349844,20.154138044501906,-1.67523013037569
41,25.09,14.73,14.31,88.36,41,88.36,14.73,-0.10286194913722949,-0.5143097456861474,20.504058158505828,-1.6478484251784162
42,25.09,14.76,14.28,88.13,42,88.13,14.76,-0.10326318629582593,-0.5163159314791296,20.418725010318383,-1.6542762444591312
43,25.09,14.71,14.33,88.48,43,88.48,14.71,-0.1026525892940246,-0.5132629464701229,20.555094645019913,-1.6444944804902741
44,25.09,14.67,14.37,88.83,44,88.83,14.67,-0.10204189330948006,-0.5102094665474003,20.677657694517976,-1.6347111308178706
45,25.09,14.6,14.44,89.37,45,89.37,14.6,-0.10109953527232184,-0.5054976763616091,20.880570973732475,-1.6196145550625958
46,25.09,14.65,14.39,88.96,46,88.96,14.65,-0.10181504274994949,-0.5090752137497474,20.730990988481352,-1.6310769848541906
47,25.09,14.61,14.42,89.25,47,89.25,14.61,-0.10130895955713447,-0.5065447977856723,20.843611596252767,-1.6229695321052942
48,25.09,14.56,14.47,89.64,48,89.64,14.56,-0.10062831439655591,-0.5031415719827795,20.99035702075526,-1.6120655966328257
49,25.09,14.7,14.34,88.6,49,88.6,14.7,-0.10244321781526533,-0.5122160890763267,20.59157955370585,-1.6411403494005505
50,25.09,14.65,14.38,88.93,50,88.93,14.65,-0.10186739375093752,-0.5093369687546876,20.725514850711967,-1.631915647890019
