FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,26.14,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,26.14,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,26.14,15.25,13.78,84.21,2,84.21,15.25,-0.11008826562043164,-0.5504413281021582,19.04741303439531,-1.763614015239315
3,26.14,15.2,13.84,84.65,3,84.65,15.2,-0.10932394858855005,-0.5466197429427502,19.189937726085564,-1.7513696563885717
4,26.14,15.24,13.8,84.32,4,84.32,15.24,-0.10989724037810651,-0.5494862018905325,19.079669834104465,-1.7605537908572664
5,26.14,15.32,13.72,83.69,5,83.69,15.32,-0.11099077883319051,-0.5549538941659525,18.866235131888168,-1.778072276907712
6,26.14,15.36,13.61,83.09,6,83.09,15.36,-0.11203101058468788,-0.5601550529234394,18.711268018626416,-1.7947367895667
7,26.14,15.12,13.89,85.16,7,85.16,15.12,-0.10843735061386828,-0.5421867530693414,19.385994418771514,-1.7371663568341698
8,26.14,15.24,13.8,84.32,8,84.32,15.24,-0.10989724037810651,-0.5494862018905325,19.079669834104465,-1.7605537908572664
9,26.14,15.34,13.68,83.47,9,83.47,15.34,-0.11137234312335856,-0.5568617156167928,18.802456774365147,-1.7841849368362042
10,26.14,15.27,13.77,84.09,10,84.09,15.27,-0.1102966143613121,-0.5514830718065605,19.00042973356556,-1.7669517620682198
11,26.14,15.46,13.55,82.47,11,82.47,15.46,-0.11310452936195724,-0.5655226468097861,18.47850008384526,-1.8119345603785548
12,26.14,15.36,13.68,83.41,12,83.41,15.36,-0.11147637724885602,-0.5573818862442801,18.76647868412553,-1.7858515635266734
13,26.14,15.28,13.73,83.89,13,83.89,15.28,-0.11064376144268842,-0.5532188072134421,18.95266716942008,-1.7725130583118685
14,26.14,15.4,13.64,83.1,14,83.1,15.4,-0.11201368388346472,-0.5600684194173235,18.662130685951556,-1.7944592158131047
15,26.14,15.38,13.66,83.25,15,83.25,15.38,-0.11175373974578379,-0.5587686987289189,18.713367981600577,-1.7902949107274562
16,26.14,15.39,13.6,82.96,16,82.96,15.39,-0.11225622415830071,-0.5612811207915035,18.650726040184548,-1.7983447110159774
17,26.14,15.57,13.47,81.72,17,81.72,15.57,-0.11440107825522522,-0.572005391276126,18.214710881591913,-1.832705273648708
