FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,22.98,15.13,13.91,85.18,0,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
1,22.98,15.13,13.91,85.18,1,85.18,15.13,-0.10840256798546362,-0.5420128399273181,19.376093880487513,-1.7366091391271272
2,22.98,14.53,14.5,89.88,2,89.88,14.53,-0.10020943935712195,-0.5010471967856097,21.080018869655255,-1.6053552185010938
3,22.98,14.8,14.21,87.69,3,87.69,14.8,-0.10403061842410544,-0.5201530921205272,20.281454089899075,-1.666570507154169
4,22.98,14.7,14.34,88.6,4,88.6,14.7,-0.10244321781526533,-0.5122160890763267,20.59157955370585,-1.6411403494005505
5,22.98,14.57,14.45,89.51,5,89.51,14.57,-0.10085520090868268,-0.5042760045434134,20.95137521271264,-1.6157003185570964
6,22.98,14.3,14.69,91.52,6,91.52,14.3,-0.09734741070597541,-0.48673705352987706,21.74305108198668,-1.559505519509726
7,22.98,14.53,14.51,89.92,7,89.92,14.53,-0.10013962629479144,-0.5006981314739571,21.087384886680983,-1.6042368132425588
8,22.98,14.74,14.25,88.05,8,88.05,14.74,-0.10340273505021676,-0.5170136752510838,20.433267776617647,-1.6565118155044725
9,22.98,14.68,14.33,88.64,9,88.64,14.68,-0.1023734248954022,-0.511867124477011,20.62828216522849,-1.6400222668243432
10,22.98,14.54,14.47,89.72,10,89.72,14.54,-0.10048869024540247,-0.5024434512270123,21.0353671288462,-1.6098288177313476
11,22.98,14.49,14.5,90.04,11,90.04,14.49,-0.09993018683559124,-0.49965093417795614,21.170624377758617,-1.6008815931061715
12,22.98,14.33,14.66,91.31,12,91.31,14.33,-0.09771381787716008,-0.48856908938580035,21.65604187651633,-1.5653753623921043
13,22.98,14.43,14.56,90.54,13,90.54,14.43,-0.09905753615668561,-0.495287680783428,21.355745490938503,-1.5869017292301035
14,22.98,14.26,14.64,91.51,14,91.51,14.26,-0.09736485789745852,-0.4868242894872926,21.80521185658206,-1.5597850235172854
15,22.98,14.2,14.79,92.37,15,92.37,14.2,-0.09586474914776329,-0.4793237457388164,22.06411003963126,-1.5357532813471677
16,22.98,14.23,14.71,91.9,16,91.9,14.23,-0.09668448216114738,-0.48342241080573684,21.926860026565006,-1.548885404221581
17,22.98,14.08,14.8,92.85,17,92.85,14.08,-0.09502786261313423,-0.4751393130656711,22.352936033413503,-1.5223463590624102
18,22.98,14.03,14.78,92.99,18,92.99,14.03,-0.0947838338287185,-0.47391916914359244,22.463352177399845,-1.5184370179360702
19,22.98,14.04,14.79,93.0,19,93.0,14.04,-0.09476640437570562,-0.4738320218785281,22.448447765829833,-1.518157798098804
