FrameID,SolidPlane,LayerRadius,h,ContactAngle,Time/ps,Contact angle/°,Radius/Å,E_adh/(eV/Å²),Normalized MSI descriptor,Chemical potential(D)/(kJ/mol),E_adh/(J/m²)
0,21.01,15.13,13.91,85.16,0,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
1,21.01,15.13,13.91,85.16,1,85.16,15.13,-0.10843735061386828,-0.5421867530693414,19.372576341310225,-1.7371663568341698
2,21.01,14.33,14.7,91.46,2,91.46,14.33,-0.09745209504830997,-0.4872604752415498,21.684060995183447,-1.5611825626739257
3,21.01,14.2,14.84,92.53,3,92.53,14.2,-0.09558575182122331,-0.47792875910611654,22.094265672662992,-1.5312837441759974
4,21.01,14.47,14.57,90.4,4,90.4,14.47,-0.09930187397020383,-0.4965093698510191,21.267909893361274,-1.5908160210026654
5,21.01,14.21,14.82,92.41,5,92.41,14.21,-0.09579499670793178,-0.47897498353965884,22.055338134341934,-1.534635847261067
6,21.01,14.19,14.84,92.57,6,92.57,14.19,-0.09551600778323079,-0.4775800389161539,22.118161564460934,-1.530166444687357
7,21.01,14.36,14.67,91.21,7,91.21,14.36,-0.09788830857892555,-0.48944154289462777,21.58991463574288,-1.5681707034343872
8,21.01,14.29,14.75,91.82,8,91.82,14.29,-0.09682403492351366,-0.4841201746175683,21.815220852731965,-1.5511210394746888
9,21.01,14.28,14.76,91.88,9,91.88,14.28,-0.0967193697563877,-0.4835968487819385,21.842506231794662,-1.5494443034973309
10,21.01,14.31,14.73,91.64,10,91.64,14.31,-0.09713805086277053,-0.4856902543138526,21.749546322886378,-1.5561515748215837
11,21.01,14.09,14.94,93.35,11,93.35,14.09,-0.09415647774817537,-0.47078238874087686,22.431226640258284,-1.5083867735257694
12,21.01,14.07,14.96,93.52,12,93.52,14.07,-0.09386030494192847,-0.4693015247096423,22.497048371193316,-1.503642085169694
13,21.01,14.1,14.93,93.27,13,93.27,14.1,-0.09429587114601079,-0.4714793557300539,22.399335837834872,-1.5106198557590929
14,21.01,14.12,14.92,93.15,14,93.15,14.12,-0.09450498200875543,-0.4725249100437771,22.34327220442195,-1.513969811780262
15,21.01,14.18,14.86,92.7,15,92.7,14.18,-0.09528935492903573,-0.4764467746451786,22.15907752569961,-1.5265354659631523
16,21.01,14.01,15.03,94.04,16,94.04,14.01,-0.09295471122246131,-0.46477355611230653,22.697568934357133,-1.4891344737838301
17,21.01,13.97,15.06,94.3,17,94.3,13.97,-0.09250212731736723,-0.46251063658683617,22.81563447218045,-1.481884079624223
18,21.01,14.11,14.93,93.23,18,93.23,14.11,-0.09436557203209815,-0.4718278601604907,22.37507570241751,-1.5117364639542124
19,21.01,14.32,14.72,91.57,19,91.57,14.32,-0.09726017597122648,-0.48630087985613235,21.72051836856973,-1.5581080190590482
20,21.01,13.98,15.06,94.25,20,94.25,13.98,-0.09258915098046008,-0.4629457549023004,22.788921758793045,-1.4832781987069705
21,21.01,14.06,14.98,93.61,21,93.61,14.06,-0.09370352929035855,-0.4685176464517927,22.530981937663302,-1.501130539231544
22,21.01,14.03,15.0,93.83,22,93.83,14.03,-0.09332036610814669,-0.4666018305407334,22.623546139799583,-1.4949922650525098
23,21.01,13.99,15.05,94.19,23,94.19,13.99,-0.092693586820002,-0.46346793410001,22.760337419421074,-1.4849512608564321
24,21.01,13.93,15.1,94.62,24,94.62,13.93,-0.09194531390973369,-0.4597265695486684,22.945906987245348,-1.4729639288339338
25,21.01,13.93,15.1,94.62,25,94.62,13.93,-0.09194531390973369,-0.4597265695486684,22.945906987245348,-1.4729639288339338
26,21.01,14.02,15.01,93.91,26,93.91,14.02,-0.09318105816159575,-0.4659052908079787,22.655762530046946,-1.4927605517487639
27,21.01,14.05,14.99,93.69,27,93.69,14.05,-0.09356418618610005,-0.4678209309305002,22.563060851781813,-1.4988982627013228
28,21.01,13.97,15.07,94.36,28,94.36,13.97,-0.09239770646462969,-0.46198853232314846,22.82711617065057,-1.4802112575633677
29,21.01,14.08,14.96,93.48,29,93.48,14.08,-0.09392998789495811,-0.46964993947479056,22.472663151747515,-1.504758406077229
30,21.01,13.92,15.11,94.7,30,94.7,13.92,-0.09180614913699592,-0.4590307456849796,22.97859366890795,-1.4707345091746746
31,21.01,13.96,15.08,94.42,31,94.42,13.96,-0.09229329394873911,-0.46146646974369554,22.855791137142756,-1.4785385690588007
32,21.01,14.02,15.02,93.97,32,93.97,14.02,-0.0930765859109372,-0.46538292955468596,22.66720683239595,-1.491086906293214
33,21.01,13.8,15.23,95.63,33,95.63,13.8,-0.09018960137930415,-0.4509480068965207,23.368763504860283,-1.4448374140964524
34,21.01,13.88,15.15,95.0,34,95.0,13.88,-0.09128442572523418,-0.4564221286261709,23.105967338911377,-1.4623765001182516
35,21.01,13.87,15.17,95.13,35,95.13,13.87,-0.09105841894605315,-0.4552920947302658,23.14852008436558,-1.4587558715157716
36,21.01,13.93,15.1,94.62,36,94.62,13.93,-0.09194531390973369,-0.4597265695486684,22.945906987245348,-1.4729639288339338
37,21.01,13.9,15.11,94.77,37,94.77,13.9,-0.09168439305552172,-0.45842196527760853,23.026807832909583,-1.468783976749458
38,21.01,14.0,15.04,94.11,38,94.11,14.0,-0.09283284704996082,-0.4641642352498041,22.727975402938707,-1.4871822097403724
39,21.01,13.98,15.06,94.25,39,94.25,13.98,-0.09258915098046008,-0.4629457549023004,22.788921758793045,-1.4832781987069705
40,21.01,13.86,15.18,95.22,40,95.22,13.86,-0.09090197960964301,-0.454509898048215,23.183424138356983,-1.456249713346481
41,21.01,14.02,15.02,93.95,41,93.95,14.02,-0.09311140915655053,-0.4655570457827526,22.663392156737483,-1.4916447746879393
42,21.01,14.11,14.92,93.19,42,93.19,14.11,-0.09443527566433726,-0.4721763783216863,22.367491252364587,-1.512853116142683
43,21.01,14.02,15.02,93.96,43,93.96,14.02,-0.09309399742855945,-0.4654699871427972,22.665299506089028,-1.4913658388055224
44,21.01,14.04,14.99,93.75,44,93.75,14.04,-0.09345968707698571,-0.46729843538492855,22.591376485349606,-1.497224186973311
45,21.01,14.02,15.02,93.96,45,93.96,14.02,-0.09309399742855945,-0.4654699871427972,22.665299506089028,-1.4913658388055224
46,21.01,14.12,14.92,93.16,46,93.16,14.12,-0.09448755517024206,-0.4724377758512103,22.34516700751924,-1.5136906338272778
47,21.01,13.98,15.05,94.22,47,94.22,13.98,-0.09264136789152566,-0.4632068394576283,22.783184512615307,-1.484114713622241
48,21.01,14.09,14.95,93.4,48,93.4,14.09,-0.09406936264240384,-0.47034681321201915,22.440719767173203,-1.5069911895313095
49,21.01,13.97,15.07,94.36,49,94.36,13.97,-0.09239770646462969,-0.46198853232314846,22.82711617065057,-1.4802112575633677
50,21.01,14.15,14.88,92.88,50,92.88,14.15,-0.09497556818202306,-0.47487784091011526,22.24246468890339,-1.5215086022760094
51,21.01,14.0,15.04,94.1,51,94.1,14.0,-0.09285025556673142,-0.46425127783365705,22.726065542541775,-1.4874610941790374
52,21.01,14.07,14.97,93.54,52,93.54,14.07,-0.09382546458544581,-0.46912732292722903,22.500850672272875,-1.5030839426588418
53,21.01,13.91,15.13,94.83,53,94.83,13.91,-0.09158004057209074,-0.4579002028604537,23.020933027983812,-1.4671122499648936
54,21.01,13.91,15.12,94.78,54,94.78,13.91,-0.09166700033858965,-0.4583350016929483,23.011327926024308,-1.4685053454242063
55,21.01,14.07,14.97,93.55,55,93.55,14.07,-0.09380804468906984,-0.4690402234453492,22.502751792051296,-1.5028048759188988
56,21.01,13.96,15.07,94.37,56,94.37,13.96,-0.09238030379660785,-0.4619015189830392,22.846216680219488,-1.4799324668216576
57,21.01,14.16,14.86,92.77,57,92.77,14.16,-0.09516732105472836,-0.4758366052736418,22.20517937882104,-1.5245804832967482
58,21.01,14.2,14.84,92.54,58,92.54,14.2,-0.0955683156086988,-0.477841578043494,22.096150278629914,-1.5310044160513547
59,21.01,14.05,14.98,93.66,59,93.66,14.05,-0.09361643839444188,-0.46808219197220935,22.557349779973702,-1.4997353430789588
60,21.01,13.99,15.05,94.19,60,94.19,13.99,-0.092693586820002,-0.46346793410001,22.760337419421074,-1.4849512608564321
61,21.01,13.94,15.1,94.58,61,94.58,13.94,-0.09201490220169412,-0.4600745110084705,22.920937190081258,-1.4740787332711396
62,21.01,14.06,14.97,93.58,62,93.58,14.06,-0.09375578613377086,-0.4687789306688543,22.525274627252262,-1.501967693863009
63,21.01,14.09,14.95,93.41,63,93.41,14.09,-0.09405194016109926,-0.4702597008054963,22.442618333727566,-1.5067120813808101
64,21.01,13.95,15.08,94.47,64,94.47,13.95,-0.09220628996986227,-0.4610314498493113,22.88259219401185,-1.4771447653171936
65,21.01,14.13,14.91,93.1,65,93.1,14.13,-0.09459211870152248,-0.4729605935076124,22.317195331673744,-1.51536574159839
66,21.01,14.07,14.96,93.51,66,93.51,14.07,-0.0938777254009738,-0.469388627004869,22.495147190008,-1.5039211609236003
67,21.01,14.18,14.86,92.66,67,92.66,14.18,-0.0953590917400583,-0.4767954587002915,22.151528805400734,-1.5276526496757339
68,21.01,14.19,14.83,92.52,68,92.52,14.19,-0.09560318816821353,-0.47801594084106763,22.10873163393485,-1.5315630744547808
69,21.01,14.18,14.85,92.63,69,92.63,14.18,-0.09541139583457053,-0.47705697917285267,22.145867104296688,-1.5284905612698199
70,21.01,14.2,14.84,92.53,70,92.53,14.2,-0.09558575182122331,-0.47792875910611654,22.094265672662992,-1.5312837441759974
71,21.01,14.08,14.96,93.48,71,93.48,14.08,-0.09392998789495811,-0.46964993947479056,22.472663151747515,-1.504758406077229
